Nationality;Regional;Local;Venue;Type;Dietary
Dutch;Asian;Fujian;Cafe;Seafood;Gluten Free Options
Italian;Middle Eastern;;Diner;Contemporary;Halal
French;Mediterranean;Nepali;Bar;Barbecue;Healthy
American;European;Xinjiang;Pub;Sushi;Kosher
Indian;South American;;Grill;Soups;Vegan Options
Japanese;International;Yunnan;Steakhouse;Pizza;Vegetarian Friendly
NewZealand;African;;Wine Bar;Fusion;
Belgian;Southwestern;;Brew Pub;;
Chinese;Caribbean;;Delicatessen;;
Irish;Cajun & Creole;;Fast Food;;
Tibetan;Latin;;Gastropub;;
German;Eastern European;;Street Food;;
Spanish;Balti;;;;
Singaporean;Caucasian;;;;
Moroccan;Central American;;;;
Turkish;Central Asian;;;;
Australian;Central European;;;;
Greek;Minority Chinese;;;;
Peruvian;Native American;;;;
Lebanese;Polynesian;;;;
Indonesian;Scandinavian;;;;
Afghani;;;;;
Albanian;;;;;
Arabic;;;;;
Argentinean;;;;;
Armenian;;;;;
Austrian;;;;;
Azerbaijani;;;;;
Bangladeshi;;;;;
Brazilian;;;;;
British;;;;;
Burmese;;;;;
Cambodian;;;;;
Canadian;;;;;
Chilean;;;;;
Colombian;;;;;
Croatian;;;;;
Cuban;;;;;
Czech;;;;;
Danish;;;;;
Ecuadorean;;;;;
Egyptian;;;;;
Ethiopian;;;;;
Filipino;;;;;
Georgian;;;;;
Guatemalan;;;;;
Hawaiian;;;;;
Hungarian;;;;;
Israeli;;;;;
Jamaican;;;;;
Korean;;;;;
Latvian;;;;;
Malaysian;;;;;
Mexican;;;;;
Mongolian;;;;;
Norwegian;;;;;
Pakistani;;;;;
Persian;;;;;
Polish;;;;;
Portuguese;;;;;
PuertoRican;;;;;
Romanian;;;;;
Russian;;;;;
Salvadoran;;;;;
Scottish;;;;;
Slovenian;;;;;
Sri Lankan;;;;;
Swedish;;;;;
Swiss;;;;;
Taiwanese;;;;;
Thai;;;;;
Tunisian;;;;;
Ukrainian;;;;;
Uzbek;;;;;
Venezuelan;;;;;
Vietnamese;;;;;
Welsh;;;;;
